 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
1476,0.0,mean,2365,0.0,true,1373,-0.040225326992983486,located
1479,0.0, means  company ,2367,0.0,trust,2216,-0.040225824531842209,stated
1480,0.0,meant,2368,0.0,truth,1247,-0.040525787154828005, investment  time 
1482,0.0,measured,2369,0.0,try,615,-0.040581783125918237,customers
1483,0.0,measurement,2371,0.0,turn,1633,-0.040601129373168628,option
1484,0.0,measures,2372,0.0,turned,1806,-0.040645124432494073,procedure
1485,0.0,measuring,2374,0.0,turns,1584,-0.040648023287613563, number  different 
1486,0.0,media,2375,0.0,twice,915,-0.040684479666623724,favorable
1487,0.0,medical,2377,0.0, type  business ,734,-0.040693915111386404,dollar
1488,0.0,medium,2378,0.0, type  financial ,2239,-0.040716177140840734,store
1489,0.0,meet,2383,0.0,typically,1398,-0.040768701244657451,loved
1490,0.0,meeting,2387,0.0,underlying,1076,-0.040817493764245413,handle
1491,0.0,meetings,2388,0.0,understand,1946,-0.040900790151736047,regards
1493,0.0,members,2390,0.0,understood,2094,-0.04107903119659638,selecting
1494,0.0,mention,2391,0.0,unexpected,1937,-0.041208495898050958,reducing
1495,0.0,mentioned,2392,0.0,unfortunately,2327,-0.041403951722729961,time
1496,0.0,merger,2393,0.0,union,2407,-0.041634952696347476,uses
1497,0.0,mergers,2400,0.0,unlike,1700,-0.04179365253524573,performed
1498,0.0,message,2402,0.0,upcoming,1618,-0.041841309414375451, open  market 
1499,0.0,met,2407,0.0,uses,1856,-0.041976951555401251,public
1500,0.0,metals,2411,0.0,utilized,1888,-0.042206380306135431,ranging
1501,0.0,method,2417,0.0, value  stock ,1646,-0.042335571644510107,outside
1502,0.0,methods,2418,0.0,values,1550,-0.042353690698371964,nature
1503,0.0,mid,2419,0.0,variable,542,-0.042583374352942807,constant
1504,0.0,middle,2420,0.0,variables,243,-0.042644841902258465,aware
1505,0.0,million,2422,0.0,variety,2088,-0.042765836762633333,seeing
1506,0.0,millions,2428,0.0, ve  got ,1903,-0.042988668678893872,reaching
1507,0.0,mind,2429,0.0, ve  heard ,1851,-0.043226049300420774, provide  information 
1508,0.0,minimal,2430,0.0, ve  seen ,1786,-0.043268024431406066, price  stock 
1509,0.0,minimize,2431,0.0,vehicle,473,-0.043334994314013574,commonly
1510,0.0,minimum,2436,0.0,version,2183,-0.043460069666223657,sounds
1511,0.0,minus,2437,0.0,versus,475,-0.043752506328433763,community
1512,0.0,minutes,2438,0.0,viable,1622,-0.044004246855728089,operates
1513,0.0,mistake,2439,0.0,video,1158,-0.04423872111424005,importance
1514,0.0,mistakes,2442,0.0,vital,848,-0.044254482973228114,excess
1515,0.0,mix,2444,0.0,volatility,1497,-0.044341216859484521,mergers
1516,0.0,model,2447,0.0,voting,1413,-0.044458939130008243,maintenance
1517,0.0,models,2456,0.0,warning,931,-0.044503416011534257,file
1518,0.0,modern,2458,0.0, washington  st ,496,-0.044581426852324711, company  uses 
1519,0.0,monetary,2461,0.0,watching,2053,-0.044784303968740079,said
1521,0.0, money  company ,2464,0.0,wealth,1734,-0.045545068806706709,plus
1522,0.0, money  invest ,2467,0.0,weather,1782,-0.046190833037823655,prevent
1523,0.0, money  invested ,2468,0.0,web,1755,-0.046397775910168713,possibility
1524,0.0, money  investment ,2469,0.0,website,1068,-0.046524571077320422,guarantee
1525,0.0, money  make ,2470,0.0, website  november ,364,-0.047042134664322346,carried
1526,0.0, money  market ,2474,0.0,weigh,2269,-0.047063338134016204,successful
1527,0.0,monitor,2476,0.0,whip,894,-0.047075948750536521, face  value 
1528,0.0,month,2477,0.0, whip  finances ,1066,-0.047122702582619809,grows
1529,0.0,monthly,2479,0.0, wide  range ,218,-0.047333358792621245, asset  value 
1530,0.0,months,2481,0.0,wife,1417,-0.047420527838726516, make  decisions 
1531,0.0,mortgage,2482,0.0,willing,526,-0.047691435036710667,conducted
1532,0.0,mortgages,2483,0.0, willing  pay ,2102,-0.0477909664727326,sells
1533,0.0,mother,2488,0.0,withdraw,1456,-0.047813946416752476, market  price 
1534,0.0,moved,2490,0.0, won  subscribed ,2390,-0.047869032273141668,understood
1535,0.0,movement,2492,0.0,wondering,1595,-0.047929955844488434,occur
1536,0.0,movements,2493,0.0,word,743,-0.048022001025359251,drive
1537,0.0,moves,2494,0.0,words,867,-0.048269491907549977,expected
1539,0.0,multiple,2495,0.0,work,1571,-0.048299243754946847,news
1540,0.0,municipal,2496,0.0,worked,2215,-0.04831544337157246,state
1541,0.0, municipal  bonds ,2501,0.0,worry,1714,-0.048465558352161563,pick
1543,0.0, mutual  fund ,2502,0.0,worse,2250,-0.048481071195966251,structure
1544,0.0, mutual  funds ,2506,0.0,write,1679,-0.048489653932651387,payable
1546,0.0,nation,2507,0.0,writing,160,-0.048558599037930236,aid
1547,0.0,national,2508,0.0,written,1594,-0.048916587987484696,obviously
1548,0.0,nations,2509,0.0,wrong,853,-0.048971071054760257,excited
1549,0.0,natural,2518,0.0,young,611,-0.048971493240594063, current  market 
1550,0.0,nature,2449,-0.0059007662283504783,waiting,1156,-0.049038881758303225,impact
1551,0.0,near,2426,-0.0060315172047615585, vary  depending ,2281,-0.049090677412216434,support
1552,0.0,nearly,320,-0.019297855617961542,built,2479,-0.049128373958087737, wide  range 
1553,0.0,necessarily,1734,-0.021663873419201993,plus,1922,-0.0491393238359197,receiving
1556,0.0, need  know ,632,-0.026863064890535616,debt,1963,-0.049307922674464905,relationships
1557,0.0, need  money ,1173,-0.028444534742088662,increases,2337,-0.049577944627296928,took
1558,0.0,needed,2125,-0.031334067903423843,shareholder,2173,-0.049673873755045485,society
1560,0.0,negative,1925,-0.033879297483644072,recession,1665,-0.049966737833276154,participants
1561,0.0,net,2386,-0.035340339489070227,uncertainty,1916,-0.050065807522121142,reason
1562,0.0, net  worth ,1351,-0.035858265607345431,link,1380,-0.050149939393710104,longer
1563,0.0,network,1170,-0.036306925099051729,increase,965,-0.050256942474118625,fit
1566,0.0, new  business ,1685,-0.044757588017057016,penalties,791,-0.050374629485560714,employees
1567,0.0, new  investors ,1884,-0.048574317674072713,raise,1079,-0.050773543626593684,hands
1568,0.0, new  product ,1034,-0.050269844758444579,global,2142,-0.051185008079646994,shown
1570,0.0, new  york ,2247,-0.052148911822134873,stress,2000,-0.051292066838827505,resources
1571,0.0,news,442,-0.057127875101608397,combined,1780,-0.051330157817906528,pressure
1572,0.0,nice,777,-0.058812492420129286,effort,884,-0.05137165416788584,expressed
1573,0.0,non,1693,-0.063845386828895664,perceived,1459,-0.051632973924770113, market  value 
1574,0.0,normal,1995,-0.066586097956464252,researching,855,-0.051806174984478627,executive
1575,0.0,normally,1122,-0.069971321583935916,holdings,1738,-0.052230789056564822,point
1576,0.0,note,2231,-0.072561642798752199, stock  price ,1465,-0.052431104770204191,material
1577,0.0,noted,1661,-0.074115429127571728,paid,2104,-0.052458763696431307,sense
1578,0.0,notes,2054,-0.07466974720557322,salaries,1664,-0.052570745299889851,parents
1579,0.0,notice,1416,-0.077965240760729429,make,670,-0.052687612387698875,depreciation
1581,0.0,november,375,-0.083029789704097801,cause,2174,-0.052902166629361924,software
1582,0.0, november  14 ,104,-0.083954499855422207,accounts,962,-0.053288515635940663,finished
1583,0.0,number,1035,-0.089857066701119426,goal,651,-0.053456323278139962,defined
1584,0.0, number  different ,790,-0.091946257046957122,employee,671,-0.053517989069515368,depth
1585,0.0, number  shares ,208,-0.098813355141426501,ask,1606,-0.053555705202519045,official
1586,0.0,numbers,1068,-0.10002430445283307,guarantee,146,-0.053617019757801657,affected
1587,0.0,numerous,1956,-0.10055091452418972,regulations,860,-0.053739353359020296,exists
