 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
150,0.0,action,715,1.0286026947967564, customer  service ,1613,0.13315537538946884,military
151,0.0,actions,428,1.0248991939551795, card  company ,2078,0.13307592303338533,regular
152,0.0,active,1108,1.023660223029105,fun,2031,0.13273109102598663, really  need 
153,0.0,activities,2143,1.0227530840356953,results,254,0.1324068227245544,assess
154,0.0,activity,2216,1.0219068085870584,section,2587,0.13235395601291663,upcoming
155,0.0,acts,356,1.0215786360632593,boost,437,0.13229991410357606,careful
157,0.0,actually,2438,1.0192156702915227,supporting,120,0.13181518740546511,accepting
160,0.0,adding,811,1.0171106514951676,dinner,1785,0.13162691257354325,page
161,0.0,addition,570,1.0152085787017402, commonly  used ,711,0.13153651803836813,current
163,0.0,additionally,321,1.0126142357811247,bearing,1917,0.13088537991315222,pretty
165,0.0, address  clicking ,2639,1.0119637370288492,visit,573,0.1307625376848984,community
166,0.0, address  published ,796,1.0116522787244207,developed,1586,0.13008980423965441,maybe
167,0.0,addressed,971,1.0105761871317147,experience,8,0.13000207420454382,100
169,0.0,adequate,752,1.01030457710318,decided,1955,0.12960097523406866,professional
170,0.0,adjust,2483,1.0100794970571036,theme,850,0.12943276484402944,dream
171,0.0,adjustments,2518,1.0094956866946194,town,712,0.12941740747941299,currently
172,0.0,advance,699,1.0089032442132224,credited,1943,0.12918061215949728,processed
173,0.0,advanced,890,1.0021352012815807,email,262,0.12884794013433745,assume
174,0.0,advantage,2010,1.0005250639257064,rate,1042,0.12878940898565097,financial
176,0.0,advent,1932,0.99979067918720343,privacy,808,0.12874081630137768,differently
177,0.0,advertising,2478,0.99707052542538854,test,2480,0.12873972262771322,thank
178,0.0,advice,270,0.99636263270366465,attorney,185,0.12857582525640465,afraid
179,0.0,advise,1224,0.99578456025294937,highest,1322,0.12854511634314225,initial
180,0.0,affect,2522,0.99534791150368251,traded,985,0.12839813111302403,extremely
182,0.0,affects,958,0.99412065517929904,exist,612,0.12785358397282107,connect
183,0.0,afford,503,0.99208075314343624,choices,630,0.12784442969143534,content
184,0.0,affordable,1018,0.9907853486859679,fee,2380,0.12744770731453758,stocks
185,0.0,afraid,225,0.98835449993865387,applications,1737,0.12677803757796824, online  banking 
186,0.0,age,525,0.9881140135307851,closely,2667,0.12657861536160464,weekend
187,0.0,agencies,5,0.9870581763952212,10,2394,0.12651080790720742,stress
189,0.0,agent,2694,0.9861264722964308,wordpress,1257,0.12612093116850653,http
192,0.0,agreement,1742,0.98127144721408899,opening,1518,0.12591474878055248, lower  rate 
193,0.0,agreements,2073,0.97791375980681383,regardless,2683,0.1259103587304741,withdraw
194,0.0,ahead,2451,0.97561798707328751,talked,1911,0.12545534252626031,prepare
195,0.0,aid,2037,0.9741388168060463,receivable,1673,0.12529799297978256,nearly
196,0.0,air,2094,0.96916507867576518,remain,1125,0.12526430853569809,generally
197,0.0,airline,991,0.96882174263115028,factor,2337,0.12518627910614685,specifically
198,0.0,alliance,885,0.96632255191376837,electronically,2332,0.12518517073681273,speak
199,0.0, alliance  wealth ,1519,0.96620055311313102,lowest,1831,0.12506576616161066,percent
200,0.0,allocated,907,0.96317419614290833,ends,862,0.12500548536515274,earnings
201,0.0,allow,2456,0.96239288749260088,tasks,399,0.12480709329443909,buyers
202,0.0,allowed,1361,0.95835213373016259,issuers,948,0.12456386927139076,everyday
203,0.0,allowing,115,0.95820594792341063, able  use ,1603,0.12417602914368941,mentioned
204,0.0,allows,185,0.95047987933712452,afraid,818,0.12408790621393505,disclaimer
206,0.0,altogether,879,0.94922369254748518,efficiency,153,0.12378991161898888,activities
207,0.0,amazing,493,0.94601732265567895,checked,515,0.12355813877084897,clear
209,0.0,american,78,0.94457446713467619,34,2581,0.12347332341764036,unless
210,0.0,americans,449,0.94254708645886065,cashed,266,0.12341151062716396,attempt
211,0.0,amounts,377,0.94135980373461936,budgeter,2370,0.12337727642843895,stay
212,0.0,analysis,394,0.94135980373461936, busy  budgeter ,1606,0.12335986230214031,merchants
214,0.0,annual,2103,0.93997318044557088,repair,179,0.12294668492377067,advise
215,0.0,answer,2440,0.9385561463993779,supposed,1969,0.12284829740057286,proof
216,0.0,anticipated,1850,0.93599650027346959,physical,426,0.12244527434567112, card  balance 
217,0.0,anybody,292,0.93246323285933497,bad,2311,0.12237489750387744, small  fee 
219,0.0,apart,1828,0.93173938099939624, people  need ,1047,0.12235666762137119, financial  institutions 
220,0.0,apartment,2235,0.93084450518777284, send  money ,1263,0.12226677900849944,id
